ID,Title,Singer,Words,Sentiment,Lyrics
1,All Messed Up,Sum 41,164,negative,Another day wasted out of time I can't get out of this Altered state of mind I'm going overboard My conscience meets decline Into reality I know this can't be fine Cause I'm all messed up Making prefect nonsense Drowning in my doubt too well Cause I'm all messed up Going nowhere fast but circles in my mind So blind Who are these voices in my head I can't go on like this Living like the dead I haven't slept so long Feeling sad I dread I'm talking to myself Forgot what I just said Cause I'm all messed up Making prefect nonsense Drowning in my doubt too well Cause I'm all messed up Going nowhere fast but circles in my mind So blind Well I hold my only enemy as closely as a friend And I sold my own reality to further my descent Self-destruction taking over it's so easy to pretend Introduction to this nightmare may never end Can anyone help me drag my heels I'm running overtime I can't hold down my meals My mind is racing by Staring blankly feels Like pulling out my teeth While this engine winds Cause I'm all messed up Making prefect nonsense Drowning in my doubt too well Cause I'm all messed up Going nowhere fast but circles in my mind So blind
2,All Nightmare Long,Metallica,477,negative,"Crawl from the wreckage one more time Horrific memory twists the mind Dark, rugged, cold and hard to turn Path of destruction, feel it burn Still life Incarnation Still life Infamy  Hallucination Heresy Still you run, what's to come? What's today?  'Cause we hunt you down without mercy Hunt you down all nightmare long Feel us breathe upon your face Feel us shift, every move we trace Hunt you down without mercy Hunt you down all nightmare long, yeah Luck. Runs.  I crawl back in But your luck runs out  Luck. Runs. Out.  The light that is not light is here To flush you out with your own fear You hide, you hide, but will be found Release your crypt without a sound  Still life Immolation Still life Infamy  Hallucination Heresy Still you run, what's to come? What's today?  'Cause we hunt you down without mercy Hunt you down all nightmare long Feel us breathe upon your face Feel us shift, every move we trace Hunt you down without mercy Hunt you down all nightmare long Luck. Runs.  I crawl back in But your luck runs out  Then you crawl back in Into your obsession Never to return This is your confession  Hunt you down without mercy Hunt you down all nightmare long Feel us breathe upon your face Feel us shift, every move we trace Hunt you down without mercy Hunt you down all nightmare long, yeah Luck. Runs.  I crawl back in But your luck runs out  Your luck runs out  "
3,American Idiot (Album Version),Green Day,176,negative,Don't wanna be an American idiot.  Don't want a nation that under the new media.   And can you hear the sound of hysteria?  The subliminal mindfuck America.    Welcome to a new kind of tension.   All across the alien nation.  Everything isn't meant to be okay.   Television dreams of tomorrow.   We're not the ones who're meant to follow.   Convincing them to walk you.    Well maybe I'm the fuckhead America.   I'm not a part of a redneck agenda.  Now everybody do the propaganda.   And sing along in the age of paranoia.    Welcome to a new kind of tension.   All across the alien nation.   Everything isn't meant to be okay.   Television dreams of tomorrow.   We're not the ones who're meant to follow.   Convincing them to walk you.    Don't wanna be an American idiot.   Don't want a nation controlled by the media.  Information nation of hysteria.   It's going out to idiot America.    Welcome to a new kind of tension.   All across the alien nation.    Everything isn't meant to be okay.   Television dreams of tomorrow.   We're not the ones who're meant to follow.   Convincing them to walk you.
4,Angry Again,Megadeth,242,negative,"The more of you that I inspect The more of me I see reflect The more I try to read your lips The more the mask youre wearing rips But when I seek out your voice My ears are overcome with noise You show and tell with greatest ease Raving impossibilities  Engaged in crime I grasp my throat Enraged my mind starts to smoke Enforce a mental overload Angry again, angry again, angry ow And when the story takes a twist If folds like a contortionist Slight of hand and quick exchange The old tricks have been rearranged  Engaged in crime I grasp my throat Enraged my mind starts to smoke Enforce a mental overload Angry again, angry again, angry The searing of the sinew My body fights for air The ripping of the tissue My lungs begin to tear Gravitys got my bones It pulls my flesh away The steam finally dissipates I make out my sweaty face  Association that I choose Game I inevitably lose Governed by laws set up by me Fracture its jaw to let me be A cut-out cardboard condo maze Filled with an insubordinate race Irrational youths stop to stare As music rubber hosed the air  Engaged in crime I grasp my throat Enraged my mind starts to smoke Enforce a mental overload Angry again, angry again, angry again And again and again, again Engaged in crime I grasp my throat Enraged my mind starts to smoke Enforce a mental overload Angry again, angry again, angry ow  "
5,Annihilation By The Hands Of God (Album Version),Roadrunner United,333,negative,"The prophets of God have left you solaced indeed A zombie of Jesus insane with his belief Is all that you know and all you take as you go You're one with the rich and only take from the poor Nailed to the cross by your hands and your feet Your washed up religion is now worthless and weak Tenacious conviction has caught up with your soul There's no place for mercy in the myths of your lord  Little lamb of sacrifice, full of Bible hymns Hiding in the house of God, from his suffering Pray the son will come and call just to make us dead Bring upon the end of times orship if you dare  Wiping out masses just for shits and a grin Is all an illusion of the spell that you're in Religious confliction has impaired your control In his resurrection, revelations unfold  He is you the sacrifice, in the house of bless Crucify yourself to death just to get to him Die? will you?  Annihilation by the hands of God Mutilate me? Annihilation by the hands of God Unforgiving?  Annihilation by the hands of God Christ ill willing?  Annihilation by the hands of God Heaven hates you?  When it's time, I won't look back Heaven's gates under attack  Satan? Satan?  Satan?  Satan?  Little lamb of sacrifice, full of Bible hymns Hiding in the house of God, from his suffering Pray the son will come and call just to make us dead Bring upon the end of times? worship if you dare Annihilation by the hands of God Mutilate me? Annihilation by the hands of God Unforgiving? Annihilation by the hands of God Christ ill willing? Annihilation by the hands of God Heaven hates you "
6,Another Time Around,Sum 41,416,negative,"In my years, I've seen all sounds of misconception. In my years, I've done all I can live to question. What happened to me I don't understand. I've seen all I can see as my time expands.  Bored I am, bored of my own desperation, I can't defend, can't find my own destination. What happened to me I don't understand. I've seen all I can see as my time expands. So what's up with you, what's up with me. I'm not the one I can't pretend, What would I be if I did it all again.  And I sometimes wish I would have asked some Then maybe I would have a clearer life perception. What's up with you, what's up with me. another time around "
7,Awaken,Disturbed,269,negative,"Stripped of life, alone In the midst of something that I Want to play with your evil inside Wanting, letting go Of what never could be again Lost and alone Imprisoned now inside your mind With the way you tried to destroy me again You were waiting and living for no one With the way you tried To completely refuse all your life Feed on your nothing You'll never live up to me  Awaken you With a little evil inside Feed on your nothing You'll never live up to me I've stricken you I don't want to live with the lie Feed on your nothing And you'll never live up to me  Awaken you, you know Can't live up to me I've stricken you Feed on your nothing And you'll never live up to me  Stripped of life, alone In the midst of something that I Want to play with your evil inside Wanting, letting go Of what never could be again Lost and alone Imprisoned now inside your mind With the way you tried to destroy me again You were waiting and living for no one With the way you tried To completely refuse all your life Feed on your nothing You'll never live up to me  Awaken you With a little evil inside Feed on your nothing You'll never live up to me I've stricken you I don't want to live with the lie Feed on your nothing And you'll never live up to me  Awaken you, you know Can't live up to me I've stricken you Can't live up to me  There isn't a thing that I can do Watching this whole thing just wash away Making me long There isn't a thing that I can do Watching this whole thing just wash away Making me long Making you strong  Awaken you With a little evil inside Feed on your nothing You'll never live up to me I've stricken you I don't want to live with the lie Feed on your nothing And you'll never live up to me  Ooh, Can't live up to me  Feed on your nothing You'll never live up to me  "
8,Ballad Of Ira Hayes,Johnny Cash,173,negative,"Ira Hayes  Ira Hayes Call him drunken Ira Hayes He won't answer anymore Not the whiskey drinkin' Indian Nor the Marine that went to war  Gather round me people there's a story I would tell  About a brave young Indian you should remember well From the tribe of the Pima Indian A proud and peaceful band Who farmed the Phoenix valley in Arizona land Down the ditches for a thousand years The water grew Ira's peoples' crops 'Till the white man stole the water rights And the sparklin' water stopped Now Ira's folks were hungry And their land grew crops of weeds When war came, Ira volunteered And forgot the white man's greed Call him drunken Ira Hayes He won't answer anymore Not the whiskey drinkin' Indian Nor the Marine that went to war  There they battled up Iwo Jima's hill, Two hundred and fifty men But only twenty-seven lived to fight back down again And when the fight was over And when Old Glory raised Among the men who held it high Was the Indian, Ira Hayes  Call him drunken Ira Hayes He won't answer anymore Not the whiskey drinkin' Indian Nor the Marine that went to war  Ira returned a hero Celebrated through the land He was wined and speeched and honored; Everybody shook his hand But he was just a Pima Indian No water, no crops, no chance At home nobody cared what Ira'd done And when did the Indians dance  Call him drunken Ira Hayes He won't answer anymore Not the whiskey drinkin' Indian Nor the Marine that went to war  Then Ira started drinkin' hard;  Jail was often his home They'd let him raise the flag and lower it like you'd throw a dog a bone!  He died drunk early one mornin' Alone in the land he fought to save Two inches of water in a lonely ditch Was a grave for Ira Hayes  Call him drunken Ira Hayes He won't answer anymore Not the whiskey drinkin' Indian Nor the Marine that went to war  Yeah, call him drunken Ira Hayes  But his land is just as dry And his ghost is lyin' thirsty In the ditch where Ira died "
9,Battery,Metallica,316,negative,"Lashing out the action, returning the reaction Weak are ripped and torn away Hypnotizing power, crushing all that cower Battery is here to stay Smashing through the boundaries Lunacy has found me Cannot stop the Battery Pounding out aggression Turns into obsession Cannot kill the Battery Cannot kill the family Battery is found in me Battery,Battery  Crushing all deceivers, mashing non-believers Never ending potency Hungry violence seeker, feeding off the weaker Breeding on insanity Smashing through the boundaries Lunacy has found me Cannot stop the Battery Pounding out aggression Turns into obsession Cannot kill the Battery Cannot kill the family Battery is found in me Battery, Battery  Circle of Destruction, Hammer comes crushing Powerhouse of energy Whipping up a fury, Dominating flurry We create the Battery Smashing through the boundaries Lunacy has found me Cannot stop the Battery Pounding out aggression Turns into obsession Cannot kill the Battery Cannot kill the family Battery is found in me Battery,Battery,Battery,Battery  "
10,Before You Die,Bad Religion,412,negative,"Decaying' ever faster. Under wear all the imminent disaster Open up your eyes. As you ruminate the hopeless ends of time. Did you wander out your days lost and resigned? Or recreate the universes in your mind? Everybody is a bastard The world is, like plaster. Crumblin' apart from pressure of the blaster, waiting for a sign.And the momentary pleasures take their turn, As the wistful boy runs out of things to learn. The episodes of your are never to return. Scare up some hope, You're gonna need it just to cope, You are the decision, numbers don't rely. When you bite the dust, Wasn't the purpose all for trust, You'll never relive it, Think before you die. Yeah, think, think before you die.  Deficit and depravation, In the wake of desperation. We write the morals rectify the nation, Now may be a time. As you ruminate the hopeless ends of time, Do you wonder how your life has been defined? You know eternity can't ever change your mind. You know eternity can't ever change your mind. So, think, think before you die. Whoa, think, think before you die.  "
